target,position,sentence,hypernym,definition,label
motion,3,police controlled the motion of the crowd,proposal,a formal proposal for action made to a deliberative assembly for discussion and vote,F
detail,5,the essay contained too much detail,gang;crew;work_party,a crew of workers selected for a particular task,F
opinion,7,he asked for a poll of public opinion,message;content;subject_matter;substance,a message expressing a belief about something;the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,F
bit,3,he had a bit of good luck,stable_gear;saddlery;tack,piece of metal held in horse is mouth by reins and used to control the horse while riding,F
change,3,she brought a change in her overnight bag,happening;occurrence;occurrent;natural_event,an event that occurs when something passes from one state or phase to another,F
misery,1,the misery and wretchedness of those slums is intolerable,sadness;unhappiness,a feeling of intense unhappiness,F
disposition,4,a swelling with a disposition to rupture,attitude;mental_attitude,an attitude of mind especially one that favors one alternative over others,F
order,4,the house is in order the machinery is out of order ,commercial_document;commercial_instrument,a commercial document used to request someone to supply something in return for payment and providing specifications and quantities,F
feeling,4,he had a great feeling for music,state,the experiencing of affective and emotional states,F
rule,1,the rule of st dominic,procedure;process, mathematics a standard procedure for solving a class of mathematical problems,F
double,8,his first job in hollywood was as a double for clark gable,base_hit;safety,a base hit on which the batter stops safely at second base,F
community,9,the preachers and the bootleggers found they had a community of interests,world_organization;world_organisation;international_organization;international_organisation;global_organization,a group of nations having common interests,F
wall,5,his back was to the wall,layer;bed,a layer of material that encloses space,F
extension,6,most basic files use the filename extension bas,meaning;substance,the most direct or specific meaning of a word or expression;the class of objects that an expression refers to,F
bar,10,it was an excellent kick but the ball hit the bar,musical_notation,musical notation for a repeating pattern of musical beats,F
life,13,having experienced both the vampire decided that he preferred un death to life ,time_period;period_of_time;period,the period from the present until death,F
back,1,his back was nicely tanned,cloth_covering,the part of a garment that covers the back of your body,F
leave,4,a ten day is leave to visit his mother,permission,permission to do something,F
concatenation,6,it was caused by an improbable concatenation of circumstances,series,a series of things depending on each other as if linked together,F
line,5,i ca not follow your line of reasoning,conformity;conformation;compliance;abidance,acting in conformity,F
picture,8,they could still receive the sound but the picture was gone,typification;exemplification,a typical example of some state or quality,F
law,3,there is a law against kidnapping,collection;aggregation;accumulation;assemblage,the collection of rules imposed by authority,F
splash,7,her red hat gave her outfit a splash of color,disturbance;disruption;commotion;flutter;hurly_burly;to-do;hoo-ha;hoo-hah;kerfuffle,a prominent or sensational but short lived news event,F
identity,2,simply an identity element if both are true,recognition;identification,the individual characteristics by which a thing or person is recognized or known,F
check,6,he asked the waiter for the check,weave,a textile pattern of squares or crossed lines resembling a checkerboard ,F
tendency,3,fabric with a tendency to shrink,attitude;mental_attitude,an attitude of mind especially one that favors one alternative over others,F
unit,5,an idea is not a unit that can be moved from one brain to another,part;portion;component_part;component;constituent,an individual or group or structure or other entity regarded as a structural or functional constituent of a whole,F
plot,7,the characters were well drawn but the plot was banal,scheme;strategy,a secret scheme to do something especially something underhand or illegal ,F
heart,5,a five pound beef heart will serve six,plane_figure;two-dimensional_figure,a plane figure with rounded sides curving inward at the top and intersecting at the bottom;conventionally used on playing cards and valentines,F
confidence,2,i have confidence in our team,secret,a secret that is confided or entrusted to another,F
point,3,he checked the point on his compass,disk;disc;saucer,a very small circular shape,F
application,2,a novel application of electronics to medical diagnosis,program;programme;computer_program;computer_programme,a program that gives a computer instructions that provide the user with tools to accomplish a task,F
term,2,the general term of an algebraic equation of the n th degree,time_period;period_of_time;period,a limited period of time,F
set,4,he gave a final set to his hat,abstraction;abstract_entity, mathematics an abstract collection of numbers or symbols,F
draft,4,they served beer on draft,sketch;study,a preliminary sketch of a design or picture,F
head,1,the head of a comet,top,the top of something,F
faith,3,he cherished the faith of a good woman,institution;establishment,an institution to express belief in a divine power,F
vocabulary,2,my russian vocabulary is very limited ,wordbook,a listing of the words used in some enterprise,F
end,1,the end of the year,surface,the surface at either extremity of a three dimensional object,F
coast,2,the rocky coast of maine has few beaches ,motion;movement;move,the act of moving smoothly along a surface while remaining in contact with it,F
round,1,the round of the seasons a round of pleasures,path;track;course,the course along which communications spread,F
breath,2,not a breath of scandal ever touched her,breeze;zephyr;gentle_wind;air,a slight movement of the air,F
trend,1,the trend of a coastline the upward trend of stock market prices,inclination;disposition;tendency,a general tendency to change as of opinion ,F
death,5,he seemed more content in death than he had ever been in life,change;alteration;modification,the event of dying or departure from life,F
fire,2,hold your fire until you can see the whites of their eyes,fuel,fuel that is burning and is used as a means for cooking,F
grace,7,it has become less common to say grace before having dinner ,beneficence, christian theology the free and unmerited favor or beneficence of god,F
case,14,for english a compositor will ordinarily have two such cases the upper case containing the capitals and the lower case containing the small letters,person;individual;someone;somebody;mortal;soul,a person requiring professional services,F
delivery,4,she had a difficult delivery,expressive_style;style,your characteristic style or manner of expressing yourself orally,F
pass,3,he had a pass for three days,cycle;oscillation,one complete cycle of operations as by a computer ,F
mess,5,my boss dumped a whole mess of projects on my desk today ,dining_room;dining-room,a large military dining room where service personnel eat or relax,F
identity,4,you can lose your identity when you join the army,recognition;identification,the individual characteristics by which a thing or person is recognized or known,F
head,9,be careful when you pet that dog on the head it may bite ,subject;topic;theme,the subject matter at issue,F
catch,7,it sounds good but what is the catch ,game,a cooperative game in which a ball is passed back and forth,F
hum,4,there is a constant hum of military preparation,noise,a humming noise,F
token,9,according to the bible the rainbow is a token of god is covenant with noah ,disk;disc,a metal or plastic disk that can be redeemed or used in designated slot machines,F
hold,3,keep a firm hold on the handlebars ,confinement,a state of being confined usually for a short time ,F
death,1,her death came as a terrible shock,killing;kill;putting_to_death,the act of killing,F
cut,4,he took a vicious cut at the ball,abuse;insult;revilement;contumely;vilification,a remark capable of wounding mentally,F
game,5,he is in the plumbing game,score, games the score at a particular point or the score needed to win,F
trend,7,not openly liberal but that is the trend of the book,direction;way,a general direction in which something tends to move,F
date,4,do you know the date of the wedding ,meeting;get_together,a meeting arranged in advance,F
life,4,his heroism saved a life,history;account;chronicle;story,an account of the series of events making up a person is life,F
range,0,range of motion,facility;installation,a place for shooting firing or driving projectiles of various kinds,F
recognition,9,she seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own,approval;commendation,approval,F
surface,11,the cloth had a pattern of red dots on a white surface,layer,the outermost level of the land or sea,F
dish,4,marriage was scarcely his dish,nutriment;nourishment;nutrition;sustenance;aliment;alimentation;victuals,a particular item of prepared food,F
patch,1,a patch of bad weather,marking,a small contrasting part of something,F
title,11,the professor did not like his friends to use his formal title,high_status,the status of being a champion,F
operation,7,the power of its engine determines its operation,business_activity;commercial_activity,a business especially one run on a large scale,F
head,5,the beer had a large head of foam,domestic_animal;domesticated_animal,a single domestic animal,F
house,4,the children were playing house,building;edifice,a dwelling that serves as living quarters for one or more families,F
base,1,the base of the triangle,military_installation,installation from which a military force initiates operations,F
seat,5,he was elected to a seat in the senate,support,any support where you can sit especially the part of a chair or bench etc on which you sit ,F
inclusion,3,he admired the inclusion of so many ideas in such a short work,body,any small intracellular body found within another characteristic of certain diseases ,F
grain,5,saw the board across the grain,atom;molecule;particle;corpuscle;mote;speck,a relatively small granular particle of a substance,F
spot,9,for our anniversary we went back to the same spot where we first met ,marking,a small contrasting part of something,F
title,2,a good title to an estate or an imperfect title,right,an informal right to something,F
rank,6,his salary was determined by his rank and seniority,line,a row or line of people especially soldiers or police standing abreast of one another,F
run,3,i have a run in my stocking ,locomotion;travel,the act of running;traveling on foot at a fast pace,F
piece,5,he is packin a piece ,thing,a portion of a natural object,F
opening,3,there is an opening in the sales department,space,an open or empty space in or between things,F
piece,6,i need to rest for a piece,item,an item that is an instance of some type,F
spin,9,one of the planet is moons has a slower spin than the others ,drive;ride,a short drive in a car,F
face,3,why the sad face ,external_body_part,the front of the human head from the forehead to the chin and ear to ear,F
swing,5,the party went with a swing,blow,a sweeping blow or stroke,F
line,4,they were arrayed in line of battle,reasoning;logical_thinking;abstract_thought,a course of reasoning aimed at demonstrating a truth or falsehood;the methodical process of logical reasoning,F
run,4,he broke into a run,sequence;chronological_sequence;succession;successiveness;chronological_succession,an unbroken chronological sequence,F
order,8,a friend in new mexico said that the order caused no trouble out there,state,established customary state especially of society ,F
top,7,a relief pitcher took over in the top of the fifth,woman's_clothing,a garment especially for women that extends from the shoulders to the waist or hips,F
richness,6,the fire light gave a richness of coloring to that side of the room,wealth;wealthiness,abundant wealth,F
union,1,the union of opposing factions,political_unit;political_entity,a political unit formed from previously independent people or organizations,F
life,2,he got life for killing the guard,being;beingness;existence,a characteristic state or mode of living,F
neck,5,the horse won by a neck,part;portion,a narrow part of an artifact that resembles a neck in position or form,F
way,4,if i had my way,artifact;artefact,any artifact consisting of a road or path affording passage from one place to another,F
reaction,2,in this reaction the acid and base will neutralize each other producing a salt ,bodily_process;body_process;bodily_function;activity,a bodily process occurring due to the effect of some antecedent stimulus or agent,F
body,1,the body of the car was badly rusted,body_part,the body excluding the head and neck and limbs,F
field,11,the set of rational numbers mathbbq is the prototypical field ,visual_percept;visual_image,the area that is visible as through an optical instrument ,F
end,5,no one wanted to play end,extremity,either extremity of something that has length,F
number,8,she refused to give them her social security number,merchandise;ware;product,an item of merchandise offered for sale,F
line,4,he has a smooth line but i did not fall for it,connection;connexion;connector;connecter;connective,a telephone connection,F
extension,1,good extension comes from a combination of training and native ability,expansion;enlargement,act of expanding in scope;making more widely available,F
fun,5,they began to fight like fun,frivolity;frivolousness,a disposition to find or make causes for amusement,F
circus,9,they used the elephants to help put up the circus,company;troupe,a travelling company of entertainers;including trained animals,F
hand,3,give him a hand ,laborer;manual_laborer;labourer;jack,a hired laborer on a farm or ranch,F
support,5,his faith was all the support he needed,aid;assist;assistance;help,aiding the cause or policy or interests of,F
run,4,the ship made its run in record time,damage;harm;impairment,a row of unravelled stitches,F
breath,2,his sour breath offended her,bodily_process;body_process;bodily_function;activity,the process of taking in and expelling air during breathing,F
charge,6,the battle began with a cavalry charge,assertion;averment;asseveration,an assertion that someone is guilty of a fault or offence,F
connection,1,the connection between overeating and obesity,relation,a relation between things or events as in the case of one causing the other or sharing features with it ,F
piece,6,the children acted out a comic piece to amuse the guests,work_of_art,a work of art of some artistic value,F
left,2,the political left is not holding enough power ,hand;manus;mitt;paw,the hand that is on the left side of the body,F
fringe,1,the fringe of a picture,optical_phenomenon,one of the light or dark bands produced by the interference and diffraction of light,F
subscription,2,my library subscription is about to expire ,handwriting,the act of signing your name;writing your signature as on a document ,F
trouble,5,he got several girls in trouble,difficulty,a source of difficulty,F
trial,6,a sample for ten days free trial,attempt;effort;endeavor;endeavour;try,the act of undergoing testing,F
attendance,2,john is attendance for the conventions was not good ,company,the number of people that are present,F
estimate,1,an estimate of what it would cost,judgment;judgement;assessment,a judgment of the qualities of something or somebody,F
trial,5,candidates must compete in a trial of skill,contest;competition, sports a preliminary competition to determine qualifications,F
head,2,tap the head of the drum for this roll ,perversion;sexual_perversion,oral stimulation of the genitals,F
play,1,the play lasted two hours,attempt;effort;endeavor;endeavour;try,an attempt to get something,F
example,6,but there is always the famous example of the smiths,representation;mental_representation;internal_representation,a representative form or pattern,F
excitement,5,he could hardly conceal his excitement when she agreed,emotional_arousal,the state of being emotionally aroused and worked up,F
point,1,a point of information,direction,any of horizontal directions indicated on the card of a compass,F
finish,4,booze will be the finish of him,perfection;flawlessness;ne_plus_ultra,a highly developed state of perfection;having a flawless or impeccable quality,F
deal,7,he is a master of the business deal,result;resultant;final_result;outcome;termination,the type of treatment received especially as the result of an agreement ,F
crack,5,he opened the window a crack,attempt;effort;endeavor;endeavour;try,a usually brief attempt,F
lead,5,the children were playing with lead soldiers,evidence;grounds,evidence pointing to a possible solution,F
industry,1,american industry is making increased use of computers to control production,determination;purpose,persevering determination to perform a task,F
foot,1,one foot of the chair was on the carpet,vertebrate_foot;pedal_extremity,the part of the leg of a human being below the ankle joint,F
cut,1,the cut from the accident scene to the hospital seemed too abrupt,share;portion;part;percentage,a share of the profits,F
mouth,5,she wiped lipstick from her mouth,opening,the opening of a jar or bottle,F
bar,10,he bought a hot dog and a coke at the bar,barrier,a submerged or partly submerged ridge in a river or along a shore,F
bed,2,the track bed had washed away,natural_depression;depression,a depression forming the ground under a body of water,F
strength,1,the strength of the company is stock in recent weeks,intensity;intensiveness,physical energy or intensity,F
point,4, ten point five ten and a half ,end;terminal,sharp end,F
motion,2,the reflex motion of his eyebrows revealed his surprise,proposal,a formal proposal for action made to a deliberative assembly for discussion and vote,F
region,4,here we enter the region of opinion,location,the extended spatial location of something,F
degree,3,he earned his degree at princeton summa cum laude,temperature_unit,a unit of temperature on a specified scale,F
back,1,the back of the dental chair was adjustable,position;place,the part of something that is furthest from the normal viewer,F
rest,6,i need to get a good rest tonight i was up late last night ,support,a support on which things can be put,F
age,6,it was replaced because of its age,time_period;period_of_time;period,a prolonged period of time,F
head,1,the head of the hammer,external_body_part,the upper part of the human body or the front part of the body in animals;contains the face and brains,F
limit,8,the sequence of reciprocals has zero as its limit ,extent,the greatest possible degree of something,F
school,3,he walked to school every morning,animal_group,a large group of fish,F
view,5,they were soon out of view,orientation,a way of regarding situations or topics etc ,F
operation,3,the plane is operation in high winds,business_activity;commercial_activity,a business especially one run on a large scale,F
top,2,only the top side of the box was painted,intensity;intensiveness,the greatest possible intensity,F
tension,6,he suffered from fatigue and emotional tension,stretching,the action of stretching something tight,F
color,4,she used a different color for the trim,kind;sort;form;variety, physics the characteristic of quarks that determines their role in the strong interaction,F
edge,4,his voice had an edge to it,limit;demarcation;demarcation_line,the outside limit of an object or area or surface;a place farthest away from the center of something,F
conflict,1,the conflict between the government and the rebels began three years ago ,incompatibility,an incompatibility of dates or events,F
history,3,all of human history,cognition;knowledge;noesis,all that is remembered of the past as preserved in writing;a body of knowledge,F
weapon,13,the club that is now mostly used for golf was once a common weapon ,persuasion;suasion,a means of persuading or arguing,F
performance,5,we congratulated him on his performance at the rehearsal,show,a dramatic or musical entertainment,F
trust,7,he is the beneficiary of a generous trust set up by his father,friendship;friendly_relationship,a trustful relationship,F
bank,6,he cashed a check at the bank,funds;finances;monetary_resource;cash_in_hand;pecuniary_resource,the funds held by a gambling house or the dealer in some gambling games,F
course,1,the course was less than a mile,education;instruction;teaching;pedagogy;didactics;educational_activity,education imparted in a series of lessons or meetings,F
splash,3,i heard a splash when the rock landed in the pond ,disturbance;disruption;commotion;flutter;hurly_burly;to-do;hoo-ha;hoo-hah;kerfuffle,a prominent or sensational but short lived news event,F
stand,4,they took a firm stand against copyright infringement ,vegetation;flora;botany,a growth of similar plants usually trees in a particular area,F
figure,1,the figure was about a thousand,maneuver;manoeuvre;play,a predetermined set of movements in dancing or skating,F
head,1,a head of cauliflower,individual,an individual person,F
contact,7,they claimed that they had been in contact with extraterrestrial beings,junction;conjunction, electronics a junction where things as two electrical conductors touch or are in physical contact,F
loss,6,it was written off as a loss ,failure,the act of losing someone or something,F
inwardness,0,inwardness is what an englishman quite simply has painlessly as a birthright,introversion,preoccupation with what concerns human inner nature especially ethical or ideological values ,F
confidence,6,after that failure he lost his confidence,secret,a secret that is confided or entrusted to another,F
grip,4,they kept a firm grip on the two top priorities,appendage,the appendage to an object that is designed to be held in order to use or move it,F
life,5,the oceans are teeming with life,being;beingness;existence,the condition of living or the state of being alive,F
order,3,ibm received an order for a hundred computers,condition;status,a condition of regular or proper arrangement,F
piece,4,it was a nice piece of work,thing,a portion of a natural object,F
softness,10,orders have recently picked up after a period of extreme softness,femininity;muliebrity,the trait of being effeminate derogatory of a man ,F
sense,3,a keen musical sense,meaning;significance;signification;import,the meaning of a word or expression;the way in which a word or expression or situation can be interpreted,F
order,1,the order of saint benedict,magnitude,a degree in a continuum of size or quantity,F
ball,1,the ball was already emptying out before the fire alarm sounded,game_equipment,round object that is hit or thrown or kicked in games,F
damage,6,the storm did a lot of damage to the area ,cost,the amount of money needed to purchase something,F
thing,1,a thing of the spirit,happening;occurrence;occurrent;natural_event,an event,F
charger,5,put the batteries in the charger overnight so we can use them tomorrow ,warhorse,formerly a strong swift horse ridden into battle,F
score,3,he studied the score of the sonata,set,a set of twenty members,F
picture,5,the author gives a depressing picture of life in poland,image;mental_image,a clear and telling mental image,F
conflict,2,the familiar conflict between republicans and democrats,state,a state of opposition between persons or ideas or interests,F
gift,5,the office is in the gift of the president ,natural_ability,natural abilities or qualities,F
escape,5,they tried to stop the escape of gas from the damaged pipe,running_away,the act of escaping physically,F
agonist,9, when bending the elbow the biceps are the agonist ,drug, biochemistry a drug that can combine with a receptor on a cell to produce a physiological reaction,F
series,2,the harmonic series has been much studied ,ordering;order;ordination,similar things placed in order or happening one after another,F
light,5,it brought the scandal to light,visual_property,the visual effect of illumination on objects or scenes as created in pictures,F
engagement,5,we are enjoying a long engagement but have not yet set a date ,group_action,the act of sharing in the activities of a group,F
face,1,the face of this company ,facial_expression;facial_gesture,a contorted facial expression,F
trial,4,he had a fair trial and the jury found him guilty,contest;competition, sports a preliminary competition to determine qualifications,F
job,4,it is always a job to contact him,duty,a specific piece of work required to be done as a duty or for a specific fee,F
drop,8,it was a miracle that he survived the drop from that height,decrease;decrement,a sudden sharp decrease in some quantity,F
connection,3,there was a connection via the internet,acquaintance;friend, usually plural a person who is influential and to whom you are connected in some way as by family or friendship ,F
place,7,he put the lamp back in its place,cognition;knowledge;noesis,an abstract mental location,F
poison,3,we used a poison to kill the weeds ,destructiveness,anything that harms or destroys,F
area,4,it was a mountainous area,environment,a particular environment or walk of life,F
division,4,magnolias belong to the division magnoliophyta ,concept;conception;construct,one of the portions into which something is regarded as divided and which together constitute a whole,F
form,3,sculpture is a form of art,document;written_document;papers,a printed document with spaces in which to write,F
light,7,although he saw it in a different light he still did not understand,device,a device for lighting or igniting fuel or charges or fires,F
complexion,2,a rugged complexion a sunburnt complexion,point_of_view;viewpoint;stand;standpoint,a point of view or general attitude or inclination,F
contact,5,litmus paper turns red on contact with an acid,junction;conjunction, electronics a junction where things as two electrical conductors touch or are in physical contact,F
change,3,he attributed the change to their marriage,cash;hard_cash;hard_currency,money received in return for its equivalent in a larger denomination or a different currency,F
vote,5,they are expecting a large vote,choice;selection;option;pick,a choice that is made by counting the number of people in favor of each alternative,F
certainty,4,his victory is a certainty,cognitive_state;state_of_mind,the state of being certain,F
ground,6,he dropped the logs on the ground,military_position;position,a position to be won or defended in battle or as if in battle ,F
way,2,a lonely way of life,position;spatial_relation,space for movement,F
drag,4,peeling potatoes is a drag,clothing;article_of_clothing;vesture;wear;wearable;habiliment,clothing that is conventionally worn by the opposite sex especially women is clothing when worn by a man ,F
scene,3,he made a scene,dramatic_composition;dramatic_work,a subdivision of an act of a play,F
path,1,the path of a meteor of a caravan or of a storm,course;course_of_action,a course of conduct,F
camp,10,city kids get to see the country at a summer camp,triteness;staleness,something that is considered amusing not because of its originality but because of its unoriginality,F
section,1,a section of a fishing rod,division,a specialized division of a large organization,F
center,5,his stories made him the center of the party,formation,the middle of a military or naval formation,F
story,6,our shop was on the fourth story of the building so we had to install an elevator ,record,a record or narrative description of past events,F
war,0,war was declared in november but actual fighting did not begin until the following spring,campaign;cause;crusade;drive;movement;effort,a concerted campaign to end something that is injurious,F
treatment,1,his treatment of the race question is badly biased,care;attention;aid;tending,care provided to improve a situation especially medical procedures or applications that are intended to relieve illness or injury ,F
mouth,6,they built a fire at the mouth of the cave,rima,the opening through which food is taken in and vocalizations emerge,F
opinion,9,every man is a fool in some man is opinion ,message;content;subject_matter;substance,a message expressing a belief about something;the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof,F
protection,3,he made trade protection a plank in the party platform,assets,defense against financial failure;financial independence,F
respect,18,syngman rhee kept imprisoned the dowager queen yun empress sunjeong of the korean empire for fear of the respect the people held for her ,courtesy;good_manners,courteous regard for people is feelings,F
heart,3,he drew a heart and called it a valentine,disposition;temperament,an inclination or tendency of a certain kind,F
bull,3,he was a bull of a man,bunk;bunkum;buncombe;guff;rot;hogwash,obscene words for unacceptable behavior,F
play,4,it is still my play,dramatic_composition;dramatic_work,a dramatic work intended for performance by actors on a stage,F
office,5,during his first year in office,place_of_business;business_establishment,place of business where professional or clerical duties are performed,F
light,3,follow god is light,friend,a person regarded very fondly,F
stock,8,the rifle had been fitted with a special stock,soup,liquid in which meat and vegetables are simmered;used as a basis for e g soups or sauces,F
bite,4,the government is weekly bite from my paycheck,injury;hurt;harm;trauma,a painful wound caused by the thrust of an insect is stinger into skin,F
end,3,she knotted the end of the thread,content;cognitive_content;mental_object,the state of affairs that a plan is intended to achieve and that when achieved terminates behavior intended to achieve it,F
section,7,there are three synagogues in the jewish section,division,a specialized division of a large organization,F
land,7,he made it the law of the land,occupation;business;job;line_of_work;line,agriculture considered as an occupation or way of life,F
tension,0,tension holds the belt in the pulleys,stress, physics a stress that produces an elongation of an elastic physical body,F
drive,1,his drive and energy exhausted his co workers,road;route,a wide scenic road planted with trees,F
model,3,the computer weather model did not correctly predict the path of the hurricane ,ideal,something to be imitated,F
call,6,after two raises there was a call,visit,a visit in an official or professional capacity,F
art,6,he said that architecture is the art of wasting space beautifully,superior_skill,a superior skill that you can learn by study and practice and observation,F
line,6,you must wait in a long line at the checkout counter,persuasion;suasion,persuasive but insincere talk that is usually intended to deceive or impress,F
recognition,12,he was unable to make his motion because he could not get recognition by the chairman,understanding;apprehension;discernment;savvy,coming to understand something clearly and distinctly,F
hollow,7,he built himself a cabin in a hollow high up in the appalachians,cavity;enclosed_space,a cavity or space in something,F
despite,1,the despite in which outsiders were held is legendary,disregard;neglect,contemptuous disregard,F
point,2,at that point i had to leave,disk;disc;saucer,a very small circular shape,F
mixture,3,he drank a mixture of beer and lemonade,combining;combine,an event that combines things in a mixture,F
advance,1,an advance in health or knowledge,suggestion;proposition;proffer,a tentative suggestion designed to elicit the reactions of others,F
love,1,his love for his work,score,a score of zero in tennis or squash,F
influence,4,used her parents influence to get the job,power;force,one having power to influence another,F
notice,2,he gave notice two months before he moved,attention;attending,the act of noticing or paying attention,F
howl,1,the howl of the wind made him restless,utterance;vocalization,a long loud emotional utterance,F
element,4,a component or constituent element of a system,situation;state_of_affairs,the situation in which you are happiest and most effective,F
corruption,0,corruption of a minor,immorality,moral perversion;impairment of virtue and moral principles,F
liver,2,a high liver,variety_meat;organs,liver of an animal used as meat,F
background,13,they got a bad connection and could hardly hear one another over the background signals,view;aspect;prospect;scene;vista;panorama,the part of a scene or picture that lies behind objects in the foreground,F
quotation,4,let is get a quotation for repairing the roof before we decide whether it is worth doing ,practice;pattern,the practice of quoting from books or plays etc ,F
disposition,4,he has a happy disposition,attitude;mental_attitude,an attitude of mind especially one that favors one alternative over others,F
point,5,they sailed south around the point,disk;disc;saucer,a very small circular shape,F
stuff,2,it was stuff i had heard before,object;physical_object,miscellaneous unspecified objects,F
love,3,a mother is love is not easily shaken ,object,any object of warm affection or devotion,F
addition,1,the addition of a leap day every four years,component;constituent;element,a component that is added to something to improve it,F
education,3,a girl is education was less important than a boy is,activity,the activities of educating or instructing;activities that impart knowledge or skill,F
fire,5,put the kettle on the fire,combustion;burning,the process of combustion of inflammable materials producing heat and light and often smoke,F
satisfaction,7,the chef tasted the sauce with great satisfaction,change,act of fulfilling a desire or need or appetite,F
process,3,events now in process,cognition;knowledge;noesis, psychology the performance of some composite cognitive activity;an operation that affects mental contents,F
addition,1,the addition of cinnamon improved the flavor,acquisition,something added to what you already have,F
sake,2,for the sake of argument,benefit;welfare,a reason for wanting something done,F
rock,12,while we are in brighton let is get a stick of rock ,natural_object,a lump or mass of hard consolidated mineral matter,F
floor,5,the fire spared the forest floor,horizontal_surface;level,the inside lower horizontal surface as of a room hallway tent or other structure ,F
reason,3,mankind should develop reason above all other virtues ,rational_motive,a rational motive for a belief or action,F
bag,4,he ate a large bag of popcorn,baggage;luggage,a portable rectangular container for carrying clothes,F
shock,5,subjects received a small electric shock when they made the wrong response,surprise,an unpleasant or disappointing surprise,F
heart,5,the child won everyone is heart,internal_organ;viscus,the hollow muscular organ located behind the sternum and between the lungs;its rhythmic contractions move the blood through the body,F
light,3,they saw the light of the beacon,source_of_illumination,any device serving as a source of illumination,F
shock,5,whole fields of wheat in shock,surprise,an unpleasant or disappointing surprise,F
place,3,he lost his place on the page,cognition;knowledge;noesis,an abstract mental location,F
bit,5,i would like a big bit of cake please ,unit_of_measurement;unit,a unit of measurement of information from binary digit ;the amount of information in a system having two equiprobable states,F
passing,1,the passing of winter,success,success in satisfying a test or requirement,F
head,4,they were at the head of the attack,structure;anatomical_structure;complex_body_part;bodily_structure;body_structure,the rounded end of a bone that fits into a rounded cavity in another bone to form a joint,F
fire,3,he went through fire and damnation,fireplace;hearth;open_fireplace,a fireplace in which a relatively small fire is burning,F
light,4,he finally saw the light,scene,an illuminated area,F
direction,4,they proposed a new direction for the firm,position;spatial_relation,the spatial relation between something and the course along which it points or moves,F
place,4,he has a special place in my thoughts,residence;abode,where you live at a particular time,F
submission,5,what was the date of submission of your proposal ,condition;status,the condition of having submitted to control by someone or something else,F
rule,3,it was his rule to take a walk before breakfast,direction;instruction,directions that define the way a game or sport is to be conducted,F
life,13,it was a heavy play and the actors tried in vain to give life to it,history;account;chronicle;story,an account of the series of events making up a person is life,F
restraint,5,dogs should be kept under restraint,restriction;limitation,a rule or condition that limits freedom,F
question,8,his claim to the property has come under question ,subject;topic;theme,the subject matter at issue,F
run,7,the defensive line braced to stop the run,sequence;chronological_sequence;succession;successiveness;chronological_succession,an unbroken chronological sequence,F
source,3,pittsburgh is the source of the ohio river,publication,a publication or a passage from a publication that is referred to,F
level,6,the pictures were at the same level,surface,a flat surface at right angles to a plumb line,F
application,6,it is a job requiring serious application,request;petition;postulation,a verbal or written request for assistance or employment or admission to a school,F
beginning,5,he was responsible for the beginning of negotiations,happening;occurrence;occurrent;natural_event,the event consisting of the start of something,F
end,6,we have given it at the end of the section since it involves the calculus,state,a final state,F
ball,4,the children were playing ball in the garden ,plaything;toy,a spherical object used as a plaything,F
respect,2,out of respect for his privacy,attitude;mental_attitude,an attitude of admiration or esteem,F
grain,3,there was a grain of truth in what he said,foodstuff;food_product,foodstuff prepared from the starchy grains of cereal grasses,F
mouth,5,new york is at the mouth of the hudson,opening,the opening of a jar or bottle,F
focus,5,the controversy brought clearly into focus an important difference of opinion,concentration;engrossment;absorption;immersion,the concentration of attention or energy on something,F
base,1,the base of the lamp,bottom, anatomy the part of an organ nearest its point of attachment,F
custody,6,he was mistreated while in police custody ,imprisonment;internment,holding by the police,F
point,2,the main point on the agenda was taken up first,aim;object;objective;target,the object of an activity,F
bank,6,the plane went into a steep bank,ridge,a long ridge or pile,F
knot,7,the saw buckled when it hit a knot,bunch;clump;cluster;clustering,a tight cluster of people or things,F
stock,4,they will cut round stock to inch diameter,repute;reputation,the reputation and popularity a person has,F
feeling,3,he lost all feeling in his arm,state,the experiencing of affective and emotional states,F
pain,4,the patient developed severe pain and distension,unpleasant_person;disagreeable_person,a bothersome annoying person,F
union,4,there is strength in union,set,a set containing all and only the members of two or more given sets,F
marriage,4,pat and leslie is marriage to each other lasted forty years ,marital_status,the state of being a married couple voluntarily joined for life or until divorce ,F
meaning,3,what is the meaning of this proverb ,message;content;subject_matter;substance,the message that is intended or expressed or signified,F
position,9,stop running all over the field and play your position ,state,the relative position or standing of things or especially persons in a society,F
cover,5,there is a $ cover tonight ,fire;firing,fire that makes it difficult for the enemy to fire on your own individuals or formations,F
fringe,1,her fringe is so long it covers her eyes ,optical_phenomenon,one of the light or dark bands produced by the interference and diffraction of light,F
book,5,they run things by the book around here,publication,a written work or composition that has been published printed on pages bound together ,F
rest,7,the gun was steadied on a special rest,inaction;inactivity;inactiveness,a state of inaction,F
preparation,8,the resolution of one dissonance is often the preparation for another dissonance,activity,the activity of putting or setting in order in advance of some act or purpose,F
school,8,he did not miss a single day of school,building;edifice,a building where young people receive education,F
return,1,the return of spring,income,the income or profit arising from such transactions as the sale of land or other property,F
